id,ru_nameg,enres_ids,themes_ids,years_ids,orig_name,description
561,"Сумасшедшие ребята","10 11","8","7","Chuubyou Gekihatsu Boy","Каждому школьнику известно о проблемах, которые возникают при переводе в другую школу посреди учебного года. Мидзуки Хидзири пришлось на собственной шкуре пережить этот стресс, ведь её ждёт неизвестность в новом учебном заведении. Переживания школьницы были уместны, и ей пришлось несладко, когда она познакомилась с одноклассниками. Оказалось, что у всех сверстников присутствует одна черта, и она заключается в высокомерии. Каждый из школьников мечтает стать популярным певцом, но при этом имеет собственный бзик. Нода одержим желанием стать героем, а вот Такасима пристрастился к просмотру аниме и чтению манги, а ещё ему нравятся девушки 2D. Накамура и вовсе уверен в том, что в прошлой жизни он был ангелом или демоном, но до конца мальчишка не определился. Помощник преступника Цукумо нисколечко не похож на грозного парня. Со всеми ребятами приходится видеться каждый день и это до жути пугает Мидзуки. Девушка не знает, как поступить правильно, а потому пытается наладить отношения с новоиспечёнными друзьями. Чем больше Хидзири находится в компании сумасшедших ребят, тем быстрей она становится такой же странной.В необычный коллектив попала Мидзуки, которая привыкла к спокойной жизни. Аниме ""Chuubyou Gekihatsu Boy"" расскажет обо всех переменах в характере, а также суждениях спокойной девчонки. Сумасшедшие ребята не дадут заскучать школьнице и сделают её жизнь красочной и насыщенной."
562,"Девичьи кричалки!","10 11","8 14","3","Anima Yell!","Многие спортивные аниме нередко упускают важную деталь, без которой состязания спортсменов потеряли бы в привлекательности. Речь, конечно же, о поддержке - обратной стороне спорта; подчас гибким и бодрым чирлидершам приходится не легче, чем выступающим перед ними спортсменам. Основа ""Девичьих кричалок"" мало чем отличается от фабулы большинства споконов: Хатоэ Коханэ метит в школьную группу поддержки, при этом не имея ни таланта, ни даже данных - Хатоэ жутко неуклюжая и боится высоты. Что же, каждому человеку нужно расти над собой - будь то спортсмен или его поддержка!"
563,"Двойной удар: Даг и Кирилл","4 5 1","0","3","Double Decker! Doug & Kirill","В городе, где разгул преступности не даёт полицейским спать спокойно, матёрому следователю Дугласу Биллингему по прозвищу Даг, который устал от постоянной суеты на работе, назначают в напарники молодого красавца Кирилла Врубеля, с энергией юности которого полицейскому департаменту по плечу любое расследование - по крайней мере, так было задумано. Станет ли разница в опыте и отношением к жизни камнем преткновения полицейского дуэта или им выпадет шанс восполнить недостатки друг друга?"
564,"Менеджер среднего звена Тонэгава","10 6 3","6","3","Chuukan Kanriroku Tonegawa","Обратная сторона истории о должнике Кайдзи – рассказ предстаёт совершенно под другим углом от лица Тонэгавы, менеджера компании, организовавшей смертельную азартную игру. Именно Тонэгаве поручено проследить, чтобы всё прошло как по маслу, но разве в таком деле можно быть уверенным хоть в чём-то?"
565,"Небесная машина Пандора","9","10","3","Juushinki Pandora","В 2031 году мир сотрясла катастрофа – взрыв реактора в Гонконге перевернул эволюцию с ног на голову, заставив флору, фауну и даже технику меняться с невероятной скоростью. Одним из причастных к взрыву был учёный по имени Леон, который на момент 2038 года ведёт затворнический образ жизни и ищет ответы на вопросы, связанные со взрывом и способами устранения его последствий. Но, как это часто бывает, ответы сами находят учёного..."
566,"Потерянная песня","7","9","3","Lost Song","Рин и Финис – две совершенно разные девушки. Одна сирота, выросшая в глуши, а другая – прекрасная принцесса, голосу которой рукоплещет весь город. Одно объединяет этих девушек и связывает их судьбы воедино – это волшебная сила песни, самая настоящая магия. И теперь, когда над королевством нависла страшная война, очищающие голоса двух девушек должны слиться в одной прекрасной песне, иначе привычному миру настанет конец."
567,"Любовь и продюсер","11 8","19 18 3","13","EVOL×LOVE","Полтора года назад у симпатичной девчонки необычным образом умер отец, который был продюсером. За последние годы компания отца потеряла рейтинги в шоу-бизнесе, а потому красавице было суждено взять всё в свои руки. Недавно милашка нашла необычные записи отца, в которых он рассказывал о новом шоу под названием ""Удивительное открытие"" и о своём расследовании мистических событий. Дочь решила выполнить последнюю просьбу продюсера, а потому занялась раскруткой программы. Во всех делах девушке помогают две талантливые подружки и коллеги в одном лице. Вот только у неопытных красавиц не очень всё получалось и наконец-то свершилось чудо. Однажды в магазине бедолага повстречала айдола Киру, который угостил её чипсами и согласился участвовать в шоу. После неожиданной встречи девчонка отправилась домой и чуть не угодила под машину. Спасителем бедолаги оказался финансовый эксперт Дзэна, который владеет уникальной способностью под названием эвол. Оказалось, что на планете существуют люди со сверхъестественными способностями и милая девушка одна из них, но сама об этом не знает. Впереди милашку ожидает судьбоносная встреча, которая изменит её жизнь.Эволверы используют свои умения с осторожностью, ведь за ними наблюдает секретная организация. Наивная девушка впуталась в опасную авантюру, которую можно увидеть в аниме ""Koi to Producer: EVOL x LOVE"". Оказалось, что обладателей мистической способности эвол намного больше, чем кажется на первый взгляд."
568,"Королевский рейд: Наследники воли","4 5 7","5","13","Ishi wo Tsugumono-tachi","В королевской гвардии есть много отважных рыцарей, но Клаус является самым сильным и храбрым воином. Элитный боец частенько тренирует своего брата Касель, который является обычным учеником, и он не имеет никакого титула. Однажды в замок прибыли посланники соседнего королевства и они попросили помощи у короля. Клаусу было приказано собрать отряд и отправиться в ближайший лес на разведку, но там их ждала подлая засада демонических сущностей. Некромант вызвал много скелетов-воинов, которые перебили большую часть отряда. Клаусу пришлось остаться на поле боя, чтобы сдерживать врага. Касель узнал о случившемся от выжившего разведчика и после этого он решил отправиться на поиски Клауса. Давняя подруга Фрей является священником, и она согласилась помочь Касель отправиться в опасную авантюру. Компания отважных друзей пополнилась милой волшебницей Клео и её верным телохранителем Ройем. Новоиспечённая команда готова отправиться на поиски бывалого рыцаря.Кровопролитные сражения с эпическими армиями демонов и некромантами можно увидеть в аниме ""King's Raid: Ishi wo Tsugumono-tachi"". Касель намерен не только отыскать брата, но и уничтожить предводителя демонов. Друзья отважного рыцаря согласились отдать жизни за главу отряда, и их не страшит многочисленная армия врага, а также смертельная опасность в большом путешествии."
569,"Литераторы и алхимики: Шестерни судей","4 5 7","9","13","Shinpan no Haguruma","В фэнтезийном мире долгие годы правит тиран, который заставляет работать людей до изнеможения. Многие крестьяне возненавидели короля, но никак не могут повлиять на ситуацию. Один храбрый юноша по имени Осаму Дадзай не смог смотреть на безобразие, которое творилось в округе, а потому он решил убить тирана. Вот только замысел в корне был провальным, и Осаму не удалось завершить покушение. Безумный король приказал казнить парнишку, но за него заступился друг и он попросил дать бедолаге один день на прощание с сестрёнкой. Дадзай уже возвращался и на полпути во дворец повстречал незнакомца, который обладает магическими способностями и он заставляет юношу поскорей вернуться, чтобы успеть спасти друга. Оказалось, что всё это происходит внутри книги, а настоящим королём завладела тьма, которую великие библиотекари называют ""пятна"". Рюносукэ Акутагава рассказал мальчишке, что он также является автором и находится в своей книге. После кровопролитного сражения Рюносукэ и храбрый Дадзай возвращаются в великую библиотеку, где их встречает начальник в виде серого кота. С этих пор великим авторам придётся стать на защиту мистических книг, которые хочет уничтожить армия ""пятен"".Удивительная история ожидает зрителей аниме ""Bungou to Alchemist: Shinpan no Haguruma"". Автора книг обладают магическими навыками, и они способны противостоять порождению тьмы. Каждый из них может творить невиданные чудеса, находясь внутри могущественных книг. Многое придётся преодолеть писателям, ведь тёмные силы намерены уничтожить всех хранителей и библиотекарей во всём мире."
570,"Звёзды ансамбля!","11","19 8","7","Ensemble Stars!","Об академии Юмэносаки знает весь мир, ведь именно тут обучают настоящих айдолов. Все ученики исключительно парни и девушек в учебное заведение не принимают, чтобы не нарушать процесс обучения. Каждый из парней мечтает стать самым популярным в шоу-бизнесе, а потому учёба стоит на первом месте. Талантов в академии Юмэносаки огромное количество, но только маленький процент добьётся известности и неимоверной популярности. Об этом уникальном месте однажды узнала пробивная и симпатичная девушка. Хитрая школьница всю жизнь мечтала стать продюсером и лишь в Юмэносаки есть подходящий курс. Девчонка решила нарушить правила учебного заведения и попыталась поступить на курс продюсеров. Администрация пошла навстречу юной красавице, и теперь в академии обучается девчонка. Она сразу присмотрела четырёх парней, которые отличались внешностью и стремительным желанием стать знаменитыми. Новоиспечённый продюсер хочет сделать из этих красавчиков настоящих айдолов.Аниме ""Ensemble Stars!"" наполнено музыкальными шедеврами и всевозможными подростковыми проблемами. Путь к популярности станет самым большим испытанием в жизни юных талантов. Парни не догадывается, что их новый продюсер жаждет известности больше чем они, а потому девушка готова трудиться без отдыха."
571,"22 на 7","11","19","13","22/7","Молодое поколение всё чаще предпочитает слушать талантливых айдолов, которых на сцене появляется большое количество. Каждая звезда имеет симпатичную внешность, а также красивый голос. Все они живут роскошной жизнью и не знают житейских проблем обычных подростков, а потому их песни не вдохновляют молодёжь. Ясуши Акимото долгое время изучал рынок айдолов и он решил, что хочет создать уникальную группу, которая отличалась бы от существующих коллективов. Талантливый продюсер придумал название для своего проекта и назвал он его ""22/7"". Гений музыкальной индустрии решил собрать необычный коллектив, а потому он выбрал девчонок из разношёрстных семей, которые имеют разные проблемы и виденье мира. В этом была гениальная затея продюсера, ведь его будущий коллектив должен объединять в себе все слои общества. Первое письмо от Ясуши получила Миу Такигава, которая привыкла к одиночеству и она не любит прикосновения других людей. У девчонки сильно болеет мама и есть маленькая сестрёнка, за которой нужно ухаживать. Миу никогда не могла подумать, что в один миг её жизнь кардинально изменится, и в будущем она сможет стать самым популярным айдолом в мире.Путь становления мировых звёзд показан в аниме ""22/7"". Такигава пришла на место встречи, которое было обозначено в письме, и она познакомилась с другими девчонками. Все певицы также имеют множество проблем, а также неординарное мышление. Многое придётся узнать зрителю об уникальном коллективе, который обязан покорить сердца многих меломанов."
572,"Драгон Квест: Приключения Дая","4 5 7","1","13","Dai no Daibouken","Несколько лет назад Владыка тьмы Хадлар сумел разрушить множество селений, а также убить тысячи мирных жителей. На помощь человечеству пришли отважные герои, которые сумели одолеть армию тьмы. Об этих героях начали слагать легенды, и все люди позабыли о кровожадном Хадларе. На острове Дермлин живёт множество монстров, которые нашли на этом месте пристанище. Среди жутких тварей живёт отважный мальчишка по имени Дай. Юноша всю жизнь мечтает стать великим героем, как его предки, но все попытки заканчиваются неудачей. Мальчишка частенько нападает на слабых монстров, чтобы отточить мастерство владения мечом. Парнишка не догадывается, какое испытание ему подготовила судьба. Вскоре по земле пошли слухи о том, что великий Владыка тьмы нашёл способ воскресить себя и теперь он намерен отомстить людям за их невежество. Об этих слухах узнал Дай и он решил всем доказать, что достоин называться героям. Вместе с парнем в путешествие отправятся его верные друзья, которые готовы в любую минуту подать руку помощи маленькому воителю.Завораживающие приключения и множество сражений ждут зрителей аниме ""Dragon Quest: Dai no Daibouken"". Наивный Дай постарается не только уничтожить армию из преисподней, но и одолеть самого Хадлара, который за время заточения обрёл невероятное могущество. Вместе с друзьями отважному воителю придётся изрядно постараться, чтобы добиться поставленных целей."
573,"Будокан скажет вам, когда я умру","10","19","13","Oshi ga Budoukan Ittekuretara Shinu","В подростковом возрасте парни обожают талантливых айдолов, которые выглядят словно ангелочки. Все девчонки имеют шикарную внешность, а также идеальную фигуру, которая манит поклонников мужского пола. Никто и не мог подумать, что за такими красотками также наблюдают школьницы. Эрипиё всю жизнь была фанаткой Майны, которая является не только симпатичным, но и талантливым айдолом. Певица ведёт двойную жизнь, ведь на сцене она раскрепощённая и весёлая, а вот в повседневной жизни девчонка является стеснительным и замкнутым человеком. Обо всех тайнах кумира знает Эрипиё, ведь на давно изучила биографию любимой исполнительницы. К тому же школьница ездит на все концерты айдола и однажды на одном из них произошёл небывалый случай. Красавица наблюдала за выступлением Майны, и она очень перенервничала, из-за чего у неё началось кровотечение из носа. Впервые известная певица увидела свою преданную фанатку и вскоре она поняла, что эта девчонка готова на многое, чтобы поддержать любимую музыкальную группу. С этих пор Эрипиё будет непосредственно участвовать в жизни группы и впереди её ждёт много удивительных сюрпризов.Аниме ""Oshi ga Budoukan Ittekuretara Shinu"" покажет, насколько сильной бывает любовь к кумирам и на что готовы поклонники ради успеха любимой группы. Школьница не догадывается, какие приключения, и жизненные потрясения её ожидают впереди."
574,"РобиХати","9","12","7","RobiHachi","Настали те времена, когда инопланетяне решили помочь человечеству в изучении межгалактических путешествий. Жители планеты пользуются новыми технологиями, но не Роби Ярге. Молодой человек живёт на Земле и работает обычным корреспондентом. Жизнерадостный парень имеет кучу неприятностей, ведь от него ушла девушка, и пришло письмо об увольнении с работы. Ко всем насущным проблемам добавились коллекторы, которые преследуют Роби и они пытаются выбить из него долги. Очередная неприятность в жизни парня стала для корреспондента судьбоносной. На улице журналиста ограбил воришка и во время погони бедолага повстречал Хати Кито. Незнакомец оказался коллектором, но он не стал настаивать на возврате долга, а просто предупредила Ярге о больших проблемах. Единственный вариант для решения всех неурядиц - это побег на другую планету. Вот только на судне беглеца случайно оказался Хати.Неожиданная встреча едва знакомых ребят на борту космического корабля станет началом весёлых приключений. Если смотреть аниме ""RobiHachi"" можно узнать, чем закончится необычная дружба двух совершенно разных парней. Неужели Роби опять вляпался в очередную курьёзную авантюру?"
575,"Лазурные огни","11","19","13","Lapis Re:LiGHTs","Юная красавица Тиара всю жизнь восхищалась старшей сестрой, которая тяжёлым трудом заполучила титул айдола. Очаровательная девушка стала популярной певицей, которую обожают миллионы поклонников, а потому Тиара всегда хотела быть похожей на сестрёнку. Вскоре милая девочка отправилась в элитную академию, где обучаются будущие айдолы. В первый же день девушке из глубинки пришлось познакомиться со своими соседками, которых она повстречала в общежитии. Каждая из учениц обладает своеобразным характером и уникальными магическими способностями. Эшли обожает не только спорт, но и со всей скрупулёзностью относится к чистоте. Самой задорной и весёлой в компании ученицы считают Лави, которая всегда находится в приподнятом настроении. Стеснительная, но в то же время прекрасная Линетт выполняет функцию совести и здравомыслия всей компании. Розетта обожает учиться, а потому она считается одной из успешных студенток академии. Тиаре быстро удалось подружиться с новоиспечёнными подругами. Впереди дружную компанию ждут не только утомительные занятия, но и важные конкурсы на большой сцене академии. Как только завязались крепкие узы между пятёркой старательных девчонок, так сразу же появились завистники. Они всячески пытаются напакостить подружкам, чтобы те не добились заветной мечты.Необычная академия таит в себе множество странностей, с которыми вскоре придётся столкнуться дружной компании. Аниме ""Lapis Re:LiGHTs"" насыщено не только музыкальными композициями, но и колдовством и впечатляющими магическими способностями, которыми обладают все ученицы академии."
576,"Винтовка прекрасна","10 11","8","7","Rifle Is Beautiful","Первоклассница Хикари Кокура на первый взгляд не отличается ничем от своих сверстников, но у неё есть уникальный дар. С детства девчонка пристрастилась к оружию и как только смогла самостоятельно держать винтовку в руках она начала оттачивать навыки стрельбы. Более меткой школьницы не сыскать во всём мире и весёлая Хикари не собирается останавливаться на достигнутом. Вскоре девушка начала поиски новой школы, где она смогла бы оттачивать навыки стрельбы. Учебное заведение Тидори имеет стрелковый клуб, который участвует в различных состязаниях. Этот вариант подошёл Кокуре как никакой другой, и девчонка подала документы в Тидори. Первый учебный день стал сплошным разочарованием, ведь стрелковый клуб утратил свою популярность и его на днях собираются закрыть. Хикари привыкла добиваться поставленных целей, а потому она собирается привлечь новых участников, которые разделят её увлечение. Вскоре нашлись три первокурсницы, и они с радостью готовы помочь Кокуре. Девчонка обрадовалась такому повороту событий, и она хочет вместе с новой командой принять участие в будущих соревнованиях.Не всегда можно повстречать милую девушку, которая увлекается опасным оружием, но в аниме ""Rifle Is Beautiful"" этот феномен присутствует. Милашка готова поделиться своими умениями и мастерством стрелка с одержимыми азартом первокурсниками. Жизнь нового клуба начинается и ребят ждёт большой успех, а также меткие соперники."
577,"Президент, пришло время для битвы!","4 5 7","9","13","Shachou, Battle no Jikan Desu!","Родители всегда любили рассказывать легенды своей детворе, но одна из них оказалась реальной. Однажды с небес чудным образом спустилась богиня, и она решила изменить судьбу всего человечества. Могущественная богиня создала на пустынном месте огромные врата. Со временем вокруг мистических врат образовался большой город, который люди прозвали Вратория. После появления главных врат на всей территории земли начали появляться аналогичные строения, а потому учёные заинтересовались этим невиданным явлением. Вскоре лучшие умы планеты обнаружили, что за мистическими вратами находится источник необычной энергии. Людям потребовалось много времени для исследования сверкал, но теперь их внеземная энергия используется для развития технологий. В разных частях мира появились специальные гильдии, которые обучают авантюристов, и им предстоит стать добытчиками сверкал. Удивительная девушка Ютория находится во главе компании ""Надежда"", которая занимается поиском редких сверкал. Вот только её компания находится на грани банкротства, а потому Ютория решила обратиться к верному другу Минато за помощью. Девушка попросила юношу стать президентом фирмы. Парнишка привык к трудностям, а потому он согласился помочь Ютории.Минато возглавил компанию ""Надежда"" и его жизнь изменилась. Аниме ""Shachou, Battle no Jikan Desu!"" поведает о невероятных приключениях храброго юноши и его друзей. Впереди парня ждёт много опасностей и загадок, которые потребуется разгадать."
578,"История Мерк","4 5 7","5","3","Mukiryoku no Shounen to Bin no Naka no Shoujo","Во вселенной Мефтерхана люди живут бок о бок с волшебными созданиями, а некоторые даже умеют с ними ладить. Среди них мальчик по имени Ю - он способен приручать магических созданий. Мечта Ю - помогать людям, став лекарем. Однако и волшебным существам отказать в подмоге добродушный малый не может; встретив потерявшую память Мерк - духа воды, он соглашается отправиться с ней на поиски её воспоминаний."
579,"Полководцы Сигрдрифа","5","2","13","Senyoku no Sigrdrifa","Все люди на земле долгие столетия жили спокойной жизнью, но неожиданно на разных континентах начали появляться загадочные столбы. Оказалось, что разгневанный бог разместил их для того, чтобы тотально уничтожить человечество с помощью монстров, которые питались энергией светящихся столбов. Вначале на мировой конференции было принято решение об отправке бомбардировщиков с ядерным оружием, чтобы уничтожить столб, но атака оказалась неудачной. Правительство всех стран осознало, что миру может прийти конец, если не предпринять какие-либо меры. Вот только ядерное оружие также не сумело разрушить мистический столб. Вскоре появился бог Один, и он предложил помощь людям в виде могущественного оружия и дев Валькирий. Специальными боевыми самолётами могут управлять лишь четыре избранных девушки. Правительство страны быстро разыскало дев и теперь от искусных пилотов зависит будущее человечества. Вот только девчонки любят не только пилотировать специальными боевыми самолётами, но и дурачиться как обычные школьницы. Виртуозные полёты на самолётах, а также воздушные бои можно увидеть в аниме ""Senyoku no Sigrdrifa"". Девчонки обязаны победить врага и уничтожить мистические столбы, которые создают огромных монстров. Сложную миссию возложили на плечи миленьким и юным девам Мияко, Азу, Вратарай Ли и Клаудии, но другого выбора у правителей стран не существует."
580,"Тамаёми","11","14 8","13","Tamayomi","О Ёми Такэда знают многие начинающие бейсболисты, ведь девушка с ранних лет занимается бейсболом и добилась в спорте хороших результатов. В начальной школе спортсменка была лучшим игроком в команде, но однажды с ней произошла небывалая ситуация. Во время важного турнира Ёми решила воспользоваться своей коронной подачей под названием ""магический бросок"", но кетчер команды отказался ловить мяч. Такэде пришлось сделать обычную подачу, но противник сумел отбить мяч и команда талантливой девчонки проиграла. После судьбоносной игры девчонка не смогла найти в себе силы продолжать тренировки, а потому ушла не только с команды, но и со спорта. Ёми поступила в старшую школу Синкосигая, где изначально не существовало бейсбольного кружка, а потому ошибки прошлого можно было оставить позади. Вот только судьба решает дать спортсменке ещё один шанс. Такэда повстречала подружку детства Тамаки Ямадзаки, которая также учится в Синкосигая и она увлекается бейсболом. Девчонки были рады встрече, и они вспомнили, что в детстве дали обещание стать лучшими игроками в бейсболе. Подружки решили помочь друг другу, и теперь они намерены вернуться в большой спорт.Изнурительные тренировки, поиск мотивации, а также неудержимую энергию дружбы придётся увидеть зрителям аниме ""Tamayomi"". Такэда постарается преодолеть свой страх, а её подруга Тамаки безусловно поможет в этом. Талантливые бейсболистки готовы принять вызов судьбы и исполнить детскую мечту."
581,"Второй Мэйджор","10 6","14","3 13","Major 2nd","Все фанаты бейсбола знают о великом Горо Хонда, который считается одним из лучших игроков. За долгую карьеру мужчине посчастливилось участвовать во многих турнирах, а также повстречать сильных соперников, но Тошии Сато запомнился ему навсегда. Бейсболисты никак не могли решить кто из них лучший игрок, но судьба подготовила для спортсменов сюрприз. Дайго Шигэно — это сын Горо и он всю жизнь хотел быть похожим на отца, а также добиться такой же славы. С ранних лет мальчишка тренировался и познавал секретные техники в бейсболе. Вскоре Дайго удалось вступить в юношескую команду, но тренер возлагал на него огромные надежды, которые так и не удалось реализовать подростку. После тотального провала Шигэро бросает бейсбол и решает никогда не возвращаться к этому виду спорта. Спустя некоторое время в классе юноши появляется Хикару, который приходится сыном Тошии. Бывший бейсболист решает доказать себе, что он может превзойти сына умелого соперника отца. Первая встреча ребят стала началом спортивного противостояния наследников великих бейсболистов.Захватывающий сюжет аниме ""Major 2nd"" порадует не только любителей спорта, но и зрителей, которым не хватает мотивации для великих свершений. Дайго и Хикару не намерены уступать пьедестал первенства в мире баскетбола, а потому их ждут ежедневные тренировки и серьёзные соревнования."
582,"Гипнотический микрофон: Рэп-баттл дивизионов","11","19","13","Division Rap Battle - Rhyme Anima","После Третей мировой войны в мире произошли некоторые перемены, и с этих пор существует матриархат. Женщины взяли в свою власть все правительственные структуры, и они оказались намного сильнее, нежели мужчины. Мужской пол не был истреблён, но в то же время утратил былую значимость. Мудрые женщины долго думали над тем, как прекратить вечные войны и сделать мир приемлемым для комфортной жизни. Вскоре учёным удалось создать гипнотический микрофон, который способен полностью подчинять волю человека. Устройство было использовано для прекращения конфликтов, и вскоре правительство получило прекрасный результат. Вот только женщины не были готовы к тому, что криминальные элементы воспользуются технологией в собственных целях. Некоторые группировки сформировали мощные дивизионы, которые вечно борются за территории. Каждая битва происходит в виде рэп-баттлов с использованием гипнотических микрофонов. В бою выигрывает тот парень, который имеет не только певческий талант, но и сильную духовную энергию.Любителям серьёзных рэп-баттлов, а также нестандартных поединков необходимо посмотреть аниме ""Hypnosis Mic: Division Rap Battle - Rhyme Anima"". Недавно на территории города появилась новая группировка, которая желает захватить контроль над всем городом. В команде необычной группы имеются талантливые рэп исполнители и парни с сильной духовной энергией."
